City_id,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Descrption
69,Saint-Michel-Des-Saints,CA,46.6834,-73.9159,44.94,69,100,8.21,overcast clouds
70,Georgetown,MY,5.4112,100.3354,77.9,94,40,2.3,scattered clouds
71,Kochi,IN,9.9399,76.2602,76.98,88,100,2.44,overcast clouds
72,Hermanus,ZA,-34.4187,19.2345,66.9,79,56,11.61,broken clouds
73,Demyansk,RU,57.643,32.466,49.82,79,44,9.28,scattered clouds
74,Mount Gambier,AU,-37.8333,140.7667,41.74,97,9,4.54,clear sky
75,Avarua,CK,-21.2078,-159.775,71.65,73,100,11.5,overcast clouds
76,Coquimbo,CL,-29.9533,-71.3436,62.33,72,20,6.91,few clouds
77,Itapirapua,BR,-15.8233,-50.6133,96.21,30,98,7.61,overcast clouds
78,Kozmodemyansk,RU,56.3367,46.5711,47.23,93,100,8.88,overcast clouds
79,Barrow,US,71.2906,-156.7887,15.82,79,90,4.61,light snow
80,Maltahohe,NA,-24.8333,16.9833,79.79,5,0,17.49,clear sky
81,Moose Factory,CA,51.2585,-80.6094,44.6,93,90,4.61,overcast clouds
82,Manali,IN,13.1667,80.2667,80.69,80,88,7.65,overcast clouds
83,Dikson,RU,73.5069,80.5464,8.56,91,100,17.4,overcast clouds
84,Saldanha,ZA,-33.0117,17.9442,66.25,83,71,16.87,broken clouds
85,Gat,IL,31.61,34.7642,74.39,62,49,5.28,scattered clouds
86,Kiunga,PG,-6.1219,141.2906,72.7,99,79,1.23,broken clouds
87,Gamba,GA,-2.65,10.0,77.38,89,99,9.62,light rain
88,Constitucion,CL,-35.3333,-72.4167,66.65,58,100,14.2,overcast clouds
89,Itabira,BR,-19.6192,-43.2269,75.02,74,89,3.96,overcast clouds
90,Pocone,BR,-16.2567,-56.6228,101.5,28,43,5.5,scattered clouds
91,Ribeira Grande,PT,38.5167,-28.7,70.2,88,75,23.02,broken clouds
92,Rocha,UY,-34.4833,-54.3333,73.83,70,100,11.56,overcast clouds
93,Hualmay,PE,-11.0964,-77.6139,68.41,72,50,7.87,scattered clouds
94,Tuktoyaktuk,CA,69.4541,-133.0374,17.6,93,75,6.91,broken clouds
95,Qandala,SO,11.472,49.8728,82.44,72,29,14.36,light rain
96,Kasongo-Lunda,CD,-6.4667,16.8167,77.31,77,77,2.24,broken clouds
97,Luderitz,NA,-26.6481,15.1594,64.06,77,1,8.75,clear sky
98,Iqaluit,CA,63.7506,-68.5145,37.13,69,90,20.0,light rain
