City_ID,City,Country,Max Temp,Current Descrption,Lat,Lng,Hotel Name
367,Goderich,CA,50.92,overcast clouds,43.7501,-81.7165,Harmony Inn
369,Broome,US,55.71,overcast clouds,42.2506,-75.833,Chenango Valley State Park
373,Dauphin,CA,44.74,clear sky,51.1494,-100.0502,Canway Inn & Suites
375,Karlskrona,SE,48.65,overcast clouds,56.1616,15.5866,First Hotel Statt
388,Vammala,FI,47.64,broken clouds,61.3333,22.9,Vammalan Seurahuone Oy
389,Fallon,US,59.27,overcast clouds,39.4735,-118.7774,Best Western Fallon Inn & Suites
394,Grindavik,IS,42.75,clear sky,63.8424,-22.4338,Northern Light Inn & Max's Restaurant
407,Salisbury,GB,53.67,scattered clouds,51.0693,-1.7957,Mercure Salisbury White Hart Hotel
409,Codrington,AU,42.03,clear sky,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
412,Sorland,NO,48.87,overcast clouds,67.667,12.6934,Sjybrygga fiskecamp
419,Launceston,AU,47.8,scattered clouds,-41.45,147.1667,Hotel Grand Chancellor Launceston
421,Vigrestad,NO,56.88,light rain,58.5667,5.7,Brusand Camping
423,Dunedin,NZ,50.49,clear sky,-45.8742,170.5036,Scenic Hotel Southern Cross
425,Kruisfontein,ZA,59.88,clear sky,-34.0033,24.7314,Oyster Bay House Rental
426,Esperance,AU,56.43,clear sky,-33.8667,121.9,Hospitality Esperance
429,Lincoln Park,US,54.45,overcast clouds,42.2506,-83.1785,Best Western Greenfield Inn
435,Ushtobe,KZ,47.91,overcast clouds,45.2514,77.9838,"Gostinitsa ""Diyar"""
440,Honningsvag,NO,42.12,broken clouds,70.9821,25.9704,Nordkapp Vandrerhjem
444,Wasilla,US,44.02,light rain,61.5814,-149.4394,Alaska's Select Inn Wasilla
445,Birin,NP,53.42,few clouds,26.8865,88.0718,Sangam hotel and lodge
446,Flinders,AU,52.21,few clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
447,Nyuksenitsa,RU,44.06,overcast clouds,60.4128,44.2397,Sukhona Hotel
453,Port Augusta,AU,57.34,broken clouds,-32.5,137.7667,Majestic Oasis Apartments
456,Great Yarmouth,GB,53.24,broken clouds,52.6083,1.7305,Comfort Hotel Great Yarmouth
459,Staryy Oskol,RU,45.28,clear sky,51.2967,37.8417,Guest House Stary Oskol
461,Aksu,CN,47.7,clear sky,41.1231,80.2644,Pudong Holiday Hotel
473,Ilmenau,DE,51.28,overcast clouds,50.6833,10.9,Hotel Tanne Ilmenau
479,Chapleau,CA,51.89,few clouds,47.8405,-83.4034,Ride the North
482,Boden,SE,41.0,moderate rain,65.8252,21.6886,Quality Hotel Bodensia
484,Sungurlu,TR,50.05,clear sky,40.1675,34.3739,Sungurlu Ogretmenevi
494,Olafsvik,IS,42.6,broken clouds,64.8945,-23.7142,Hotel Olafsvik
497,Tongchuan,CN,56.08,light rain,35.0806,109.0897,Tongchuan Hotel
501,Gryfino,PL,53.56,overcast clouds,53.2524,14.4883,Ryś
506,Inverell,AU,49.15,few clouds,-29.7833,151.1167,Sapphire City Motor Inn
511,Moscow,RU,48.63,broken clouds,55.7522,37.6156,"The Ritz-Carlton, Moscow"
512,Thunder Bay,CA,49.55,overcast clouds,48.4001,-89.3168,Victoria Inn Hotel and Convention Centre
518,Roald,NO,51.1,clear sky,62.5833,6.1333,Flem Cabins
531,Hofn,IS,42.76,light rain,64.2539,-15.2082,Hótel Höfn
532,Svetlogorsk,BY,47.34,clear sky,52.6333,29.7333,Hotel Svetlogorsk JBIK
540,Casper,US,41.0,overcast clouds,42.8666,-106.3131,Ramkota Hotel
541,Beyneu,KZ,52.61,clear sky,45.3167,55.2,NUR
548,Warrington,GB,51.91,few clouds,53.3925,-2.5802,Patten Arms Hotel
553,Kijang,KR,51.53,clear sky,35.2442,129.2139,Samyang Beach Villa
556,Kizukuri,JP,44.11,overcast clouds,40.8061,140.3861,Kashiwa Roman-sō
558,Jumla,NP,44.29,clear sky,29.2747,82.1838,Royal Garden Hotel
560,Peru,US,54.12,overcast clouds,40.7537,-86.0689,Cole Porter Inn
564,Ialibu,PG,54.27,overcast clouds,-6.2821,143.9935,Eastwood Guesthouse
566,Sheffield,GB,51.57,clear sky,53.383,-1.4659,Hotel Novotel Sheffield Centre
569,Comodoro Rivadavia,AR,51.66,scattered clouds,-45.8667,-67.5,Austral Hotel
571,Vila,PT,54.34,overcast clouds,42.0304,-8.1588,Hotel Castrum Villae by Walk Hotels
579,Prince Rupert,CA,44.29,overcast clouds,54.3161,-130.3201,Crest Hotel
584,Vytegra,RU,43.9,overcast clouds,61.0064,36.4481,Wardenclyffe Volgo&Balt
590,Winchester,GB,54.52,scattered clouds,51.0651,-1.3187,"The Wykeham Arms, Winchester"
592,Jining,CN,59.76,light rain,35.405,116.5814,Yunhe Star Hotel
596,Chardara,KZ,54.55,overcast clouds,41.2547,67.9692,Жанаргул
606,Rawdon,CA,50.65,overcast clouds,46.0501,-73.7159,Auberge Le Manchester
613,Merrill,US,54.59,broken clouds,45.1805,-89.6835,Prairie Motel
616,Terney,RU,45.36,overcast clouds,45.0503,136.6092,"Hotel ""Ternay"""
621,Pembroke,CA,48.18,overcast clouds,45.8168,-77.1162,Econo Lodge Inn & Suites
623,Kade,DE,54.21,overcast clouds,52.3833,12.2667,Craft Berry GmbH
629,Shizuishan,CN,42.35,clear sky,39.2333,106.7694,Xingji Hotel
630,Edmonds,US,50.34,clear sky,47.8107,-122.3774,Best Western Plus Edmonds Harbor Inn
634,Kalnibolotskaya,RU,49.33,clear sky,46.0058,40.4568,гостиница ОАО «Радуга»
638,Sandviken,SE,47.7,broken clouds,60.6167,16.7667,Alséns Hotel
647,Jilikul,TJ,52.92,clear sky,37.4917,68.5311,Mu vcjon Dursulton jud
656,Ucluelet,CA,43.11,broken clouds,48.9329,-125.5528,Black Rock Oceanfront Resort
658,Shelburne,CA,45.75,overcast clouds,44.0787,-80.2041,The Retreat at the Farm
659,Rouvroy,FR,53.91,overcast clouds,50.3925,2.904,La cabane de Lena
661,Tuatapere,NZ,48.76,broken clouds,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
663,Zenzeli,RU,49.73,clear sky,45.9241,47.0474,"Gostinitsa ""Zvezdnaya"""
665,Zhuzhou,CN,59.13,scattered clouds,27.8333,113.15,Feifan Chengpin Hotel Shanmutang
667,Kushiro,JP,45.66,broken clouds,42.975,144.3747,Toyoko Inn Kushiro Jujigai
668,Hamilton,US,57.11,mist,39.1834,-84.5333,Six Acres Bed & Breakfast
671,Gracac,HR,53.38,clear sky,44.3006,15.8547,"Apartment ""ANA"""
678,Pogar,RU,44.46,clear sky,52.554,33.2591,"Gostinitsa ""U Gamleta"""
688,Youghal,IE,53.02,broken clouds,51.95,-7.8506,Quality Hotel and Leisure Centre Youghal
689,Stege,DK,53.06,overcast clouds,54.987,12.2846,Hotel Præstekilde - Møn Golf Resort
691,Milevsko,CZ,50.13,few clouds,49.4509,14.36,Sport Hotel Milevsko
697,Oktyabrskiy,RU,44.04,overcast clouds,54.4815,53.471,Уязы-Тау гостиница
700,Raytown,US,58.82,clear sky,39.0086,-94.4636,"Holiday Inn Express & Suites Kansas City Sport Complex Area, an IHG Hotel"
706,Boysun,UZ,49.23,scattered clouds,38.2061,67.1986,Gaza Hotel
